Course Code,Course Name,2021 Round 1,2021 Round 2,2020 Round 1,2020 Round 2,2019 Round 1,2021 assessment,2020 assessment,2019 assessment
AL832,Mental Health Nursing                             ,440,431,387,384,387,False,False,False
CW018,Business (options)                                ,307,,298,248,327,False,False,False
CW188,Sport Rehabilitation and Athletic Therapy         ,451,,451,448,454,False,False,False
PC405,Social  Political and Community Studies           ,263,235,253,216,251,False,False,False
PC410,Arts and Humanities (fulfils Teaching Council requ,262,230,252,209,203,False,False,False
PC411,English and History (fulfils Teaching Council requ,243,224,255,209,168,False,False,False
CR130,Musical Theatre at CIT Cork School of Music       ,525,,548,518,500,True,True,True
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609,609,740,645,768,True,True,True
CK105,Film and Screen Media - 3 years or 4 years (Intern,421,420,368,337,397,False,False,False
CK110,World Languages                                   ,488,,452,433,456,False,False,False
CK120,Applied Psychology                                ,544,543,533,532,506,False,False,False
CK122,Government and Political Science                  ,399,,337,328,355,False,False,False
CK206,Commerce (International) with German              ,466,455,420,418,408,False,False,False
CK301,Law (Pathways) -  3 or 4 years                    ,533,532,507,499,476,False,False,False
CK402,Biological and Chemical Sciences                  ,555,555,510,509,498,False,False,False
CK406,Chemical Sciences                                 ,532,,485,472,457,False,False,False
CK407,Mathematical Sciences                             ,566,,566,565,531,False,False,False
CK408,Physics and Astrophysics                          ,566,,554,542,511,False,False,False
CK412,Agricultural Science                              ,506,,496,496,457,False,False,False
CK505,Food Science                                      ,463,,441,440,444,False,False,False
CK606,Architecture - Offered jointly by UCC and CIT     ,543,,484,476,465,False,False,False
CK702,Dentistry                                         ,625,625,613,613,590,False,False,False
CK703,Pharmacy                                          ,613,613,590,589,577,False,False,False
CK704,Occupational Therapy                              ,601,,566,555,532,False,False,False
CK707,Medical and Health Sciences                       ,578,,542,541,510,False,False,False
CK730,Intellectual Disability Nursing                   ,431,,419,411,359,False,False,False
DB500,Computing                                         ,234,234,218,218,242,False,False,False
DB501,Computing (Cloud Computing)                       ,,178,227,227,326,False,False,False
DB502,Computing (Data Analytics and Big Data)           ,267,233,341,341,269,False,False,False
DB503,Computing (Software Development)                  ,,,225,225,242,False,False,False
DB510,Audio Production and Music Project Management     ,217,217,234,223,233,False,False,False
DB512,Business Studies                                  ,243,210,218,203,229,False,False,False
DB515,Business Studies (Human Resource Management)      ,242,217,244,244,225,False,False,False
DB521,Accounting and Finance                            ,243,228,225,195,225,False,False,False
DB524,Business (Information Systems)                    ,247,239,342,309,402,False,False,False
DB527,Applied Social Care                               ,254,219,234,260,235,False,False,False
DB562,Psychology                                        ,244,233,243,229,208,False,False,False
DB566,Social Science                                    ,262,228,220,227,216,False,False,False
DB567,Film and Creative Media                           ,245,213,218,202,192,False,False,False
DB568,Law                                               ,254,228,219,252,245,False,False,False
DC004,Education - Primary Teaching (Church of Ireland Ce,451,,411,409,357,True,True,True
DC010,Post Primary Teacher Education - Religious Educati,384,,441,429,386,False,False,False
DC011,Post Primary Teacher Education - Religious Educati,409,,412,391,352,False,False,False
DC112,Global Business (France)                          ,542,,517,510,495,False,False,False
DC117,Aviation Management / Aviation Management with Pil,484,,476,475,463,False,False,False
DC127,Common Entry into Actuarial and Financial Mathemat,541,,532,520,509,False,False,False
DC131,Communication Studies                             ,421,,407,402,400,False,False,False
DC132,Journalism                                        ,452,,429,422,401,False,False,False
DC133,Multimedia                                        ,435,,411,410,403,False,False,False
DC161,Analytical Science                                ,498,,498,489,446,False,False,False
DC166,Environmental Science and Technology              ,423,,433,399,412,False,False,False
DC168,Genetics and Cell Biology                         ,543,,512,510,489,False,False,False
DC181,Biotechnology                                     ,530,,499,495,476,False,False,False
DC202,Sport Science and Health                          ,511,,500,498,467,False,False,False
DC204,Athletic Therapy and Training                     ,558,,522,519,484,False,False,False
DC208,Psychology                                        ,565,,532,521,509,False,False,False
DC209,Health and Society                                ,477,,465,440,419,False,False,False
DC215,General Nursing                                   ,456,,454,433,414,False,False,False
DC216,Mental Health Nursing                             ,420,,418,403,368,False,False,False
DC218,Children`s and General Nursing (Integrated)       ,521,,500,498,467,False,False,False
DC240,Marketing  Innovation and Technology              ,499,,476,474,451,False,False,False
DL822,Arts Management                                   ,254,,229,229,209,False,False,False
GC200,Business                                          ,269,242,252,252,269,False,False,False
GC201,Accounting and Finance                            ,260,226,303,303,251,False,False,False
GC230,Computing Science                                 ,300,289,335,325,228,False,False,False
GC301,Accounting and Finance                            ,,251,253,253,307,False,False,False
GC400,Business                                          ,250,228,248,248,246,False,False,False
GC401,Accounting and Finance                            ,242,242,240,227,181,False,False,False
GC402,Business (HRM)                                    ,,,264,236,217,False,False,False
GC403,Law                                               ,245,242,244,228,225,False,False,False
GC407,Business (Marketing)                              ,264,264,280,280,246,False,False,False
GC430,Computing Science                                 ,251,251,252,220,217,False,False,False
GC450,Communications and Media Production               ,225,225,254,254,227,False,False,False
GC494,Fashion Design (portfolio)                        ,351,,337,217,,True,True,True
AD215,Visual Culture                                    ,337,300,377,320,300,False,False,False
TR002,Music                                             ,508,477,435,429,414,False,False,True
TR003,History                                           ,552,543,497,493,486,False,False,False
TR004,Law                                               ,590,589,566,565,532,False,False,False
TR006,Psychology                                        ,601,590,567,555,555,False,False,False
TR019,Law and German                                    ,577,567,543,542,523,False,False,False
TR023,English Studies                                   ,546,541,487,476,463,False,False,False
TR024,European Studies                                  ,566,,544,542,520,False,False,False
TR025,Drama and Theatre Studies                         ,543,519,564,530,489,True,True,True
TR032,Engineering                                       ,556,555,510,509,487,False,False,False
TR039,Computer Science  Linguistics and a Language      ,443,,454,424,435,False,False,False
TR051,Medicine (HPAT required)                          ,743,743,735,734,730,True,True,True
TR052,Dental Science                                    ,625,625,613,613,590,False,False,False
TR053,Physiotherapy                                     ,590,,566,566,533,False,False,False
TR060,Biological and Biomedical Sciences                ,578,577,543,543,510,False,False,False
TR061,Chemical Sciences                                 ,558,554,517,510,488,False,False,False
TR063,Physical Sciences                                 ,554,543,498,498,498,False,False,False
TR081,Business  Economic and Social Studies (BESS)      ,577,567,543,543,518,False,False,False
TR085,Business Studies and French                       ,564,,540,531,509,False,False,False
TR086,Business Studies and German                       ,530,,509,499,474,False,False,False
TR087,Business Studies and Russian                      ,487,,474,465,467,False,False,False
TR089,Business Studies and Polish                       ,391,,444,424,393,False,False,False
TR093,General Nursing (Adelaide School of Nursing)      ,473,,430,429,378,True,True,True
TR911,Children`s and General Nursing (Integrated)       ,531,,511,510,476,False,False,False
TR913,Midwifery                                         ,521,,478,477,423,False,False,False
DN130,City Planning and Environmental Policy            ,445,424,407,400,367,False,False,False
DN150,Engineering (Common Entry)                        ,565,,531,521,511,False,False,False
DN250,Agricultural Science (options)                    ,454,444,456,455,420,False,False,False
DN310,Veterinary Nursing                                ,521,509,478,477,441,False,False,False
DN400,Medicine - Undergraduate Entry (HPAT required)    ,743,,737,736,735,True,True,True
DN410,Radiography                                       ,566,566,534,532,507,False,False,False
DN420,Physiotherapy                                     ,601,601,578,577,542,False,False,False
DN425,Health and Performance Science                    ,544,543,510,509,488,False,False,False
DN430,Sport and Exercise Management                     ,484,476,455,445,436,False,False,False
DN440,Biomedical  Health and Life Sciences              ,613,613,590,589,565,False,False,False
DN450,General Nursing                                   ,462,,429,424,398,False,False,False
DN451,Children`s and General Nursing (Integrated)       ,533,,509,506,462,False,False,False
DN452,Midwifery                                         ,510,509,489,476,409,False,False,False
DN453,Mental Health Nursing                             ,442,,397,393,379,False,False,False
DN530,Humanities (options)                              ,397,388,340,336,348,False,False,False
DN600,Law (options)                                     ,576,567,546,544,520,False,False,False
DN650,Commerce                                          ,555,,521,521,498,False,False,False
DN660,Commerce International (options)                  ,555,554,517,511,507,False,False,False
DN700,Social Sciences (options)                         ,475,474,421,419,388,False,False,False
DN710,Economics                                         ,534,532,498,498,476,False,False,False
DN720,Psychology                                        ,566,564,530,522,517,False,False,False
DK810,Accounting and Finance                            ,307,307,305,305,306,False,False,False
DK816,Business Studies                                  ,301,301,300,300,300,False,False,False
DK820,Computing in Games Development                    ,309,309,311,311,307,False,False,False
DK821,Computing in Software Development                 ,320,316,302,302,301,False,False,False
DK843,Engineering (Common Entry)                        ,404,391,340,340,303,False,False,False
DK861,Arts                                              ,302,302,302,302,300,False,False,False
DK863,Creative Media                                    ,336,320,308,308,300,False,False,False
DK864,Film and Television Production                    ,308,,300,300,300,False,False,False
DK870,General Nursing                                   ,440,440,403,401,392,False,False,False
DK883,Science (Award options)                           ,373,368,358,321,300,False,False,False
GA880,General Nursing                                   ,440,,429,422,389,False,False,False
GY104,BSc (Psychology)                                  ,564,555,523,520,507,False,False,False
GY301,Science                                           ,489,488,433,432,400,False,False,False
GY515,General Nursing (Galway and Portiuncula)          ,502,496,476,473,442,False,False,False
MI002,Arts                                              ,280,,300,281,300,False,False,False
LC226,Enterprise and Innovation                         ,255,,234,234,216,False,False,False
LC236,Internet Systems Development                      ,260,,262,260,298,False,False,False
LC288,Mechanical Engineering                            ,378,369,347,346,307,False,False,False
LC380,Automotive Engineering and Transport Management   ,298,,303,298,282,False,False,False
MU001,Theology and Arts                                 ,294,294,290,290,290,False,False,False
MH304,Engineering (Computer/Electronic/Communications)  ,351,351,333,333,371,False,False,False
MH802,Community and Youth Work (part-time  in service)  ,,,,,,True,True,True
MH803,Local Studies/Community Studies (part-time  evenin,,,,,,True,True,True
AS002,Education  Home Economics and Religious Ed - with ,464,452,441,434,400,False,False,False
AS003,Education  Home Economics and Irish - with concurr,463,457,440,440,421,False,False,False
AS051,Nutrition  Food and Business Management           ,378,347,328,317,337,False,False,False
AS054,Home Economics                                    ,440,419,408,398,387,False,False,False
AS130,Intellectual Disability Nursing                   ,387,358,336,328,317,False,False,False
TL890,General Nursing and Mature Applicants             ,463,,440,414,407,False,False,False
TL891,Mental Health Nursing and Mature Applicants       ,440,419,389,378,367,False,False,False
WD001,Applied Computing (options)                       ,270,261,260,260,279,False,False,False
WD007,Engineering (options)                             ,270,270,288,288,287,False,False,False
WD200,Arts (options)                                    ,201,201,0,0,221,False,False,False
